# eps=0 u'(0)=0
0.215588 0.893039
0.216144 0.892768
0.2167 0.892496
0.217256 0.892225
0.217812 0.891953
0.218368 0.891682
0.218924 0.89141
0.21948 0.891139
0.220036 0.890868
0.220591 0.890597
0.221147 0.890325
0.221703 0.890054
0.222259 0.889783
0.222814 0.889512
0.22337 0.889242
0.223925 0.888971
0.224481 0.8887
0.225036 0.888429
0.225591 0.888159
0.226147 0.887888
0.226702 0.887617
0.227257 0.887347
0.227812 0.887077
0.228367 0.886806
0.228922 0.886536
0.229477 0.886266
0.230032 0.885995
0.230587 0.885725
0.231142 0.885455
0.231697 0.885185
0.232252 0.884915
0.232806 0.884645
0.233361 0.884376
0.233916 0.884106
0.23447 0.883836
0.235025 0.883566
0.235579 0.883297
0.236134 0.883027
0.236688 0.882758
0.237242 0.882488
0.237797 0.882219
0.238351 0.88195
0.238905 0.881681
0.239459 0.881411
0.240013 0.881142
0.240567 0.880873
0.241121 0.880604
0.241675 0.880335
0.242229 0.880066
0.242783 0.879798
0.243337 0.879529
0.24389 0.87926
0.244444 0.878992
0.244998 0.878723
0.245551 0.878455
0.246105 0.878186
0.246658 0.877918
0.247212 0.877649
0.247765 0.877381
0.248318 0.877113
0.248872 0.876845
0.249425 0.876577
0.249978 0.876309
0.250531 0.876041
0.251084 0.875773
0.251637 0.875505
0.25219 0.875237
0.252743 0.87497
0.253296 0.874702
0.253849 0.874434
0.254402 0.874167
0.254954 0.873899
0.255507 0.873632
0.25606 0.873365
0.256612 0.873097
0.257165 0.87283
0.257717 0.872563
0.25827 0.872296
0.258822 0.872029
0.259375 0.871762
0.259927 0.871495
0.260479 0.871228
0.261031 0.870961
0.261583 0.870695
0.262135 0.870428
0.262688 0.870162
0.26324 0.869895
0.263791 0.869629
0.264343 0.869362
0.264895 0.869096
0.265447 0.86883
0.265999 0.868563
0.26655 0.868297
0.267102 0.868031
0.267654 0.867765
0.268205 0.867499
0.268757 0.867233
0.269308 0.866968
0.26986 0.866702
0.270411 0.866436
0.270962 0.866171
0.271514 0.865905
0.272065 0.86564
0.272616 0.865374
0.273167 0.865109
0.273718 0.864843
0.274269 0.864578
0.27482 0.864313
0.275371 0.864048
0.275922 0.863783
0.276473 0.863518
0.277023 0.863253
0.277574 0.862988
0.278125 0.862723
0.278675 0.862459
0.279226 0.862194
0.279777 0.86193
0.280327 0.861665
0.280877 0.861401
0.281428 0.861136
0.281978 0.860872
0.282528 0.860608
0.283079 0.860343
0.283629 0.860079
0.284179 0.859815
0.284729 0.859551
0.285279 0.859287
0.285829 0.859024
0.286379 0.85876
0.286929 0.858496
0.287479 0.858232
0.288028 0.857969
0.288578 0.857705
0.289128 0.857442
0.289677 0.857178
0.290227 0.856915
0.290776 0.856652
0.291326 0.856389
0.291875 0.856126
0.292425 0.855863
0.292974 0.8556
0.293523 0.855337
0.294073 0.855074
0.294622 0.854811
0.295171 0.854548
0.29572 0.854286
0.296269 0.854023
0.296818 0.853761
0.297367 0.853498
0.297916 0.853236
0.298465 0.852973
0.299013 0.852711
0.299562 0.852449
0.300111 0.852187
0.300659 0.851925
0.301208 0.851663
0.301757 0.851401
0.302305 0.851139
0.302853 0.850877
0.303402 0.850616
0.30395 0.850354
0.304498 0.850093
0.305047 0.849831
0.305595 0.84957
0.306143 0.849308
0.306691 0.849047
0.307239 0.848786
0.307787 0.848525
0.308335 0.848264
0.308883 0.848003
0.309431 0.847742
0.309979 0.847481
0.310526 0.84722
0.311074 0.846959
0.311622 0.846699
0.312169 0.846438
0.312717 0.846178
0.313264 0.845917
0.313812 0.845657
0.314359 0.845396
0.314906 0.845136
0.315454 0.844876
0.316001 0.844616
0.316548 0.844356
0.317095 0.844096
0.317642 0.843836
0.318189 0.843576
0.318736 0.843317
0.319283 0.843057
0.31983 0.842797
0.320377 0.842538
0.320924 0.842278
